,precision,recall,f1-score,support
0,0.8461538461538461,0.8571428571428571,0.8516129032258064,77.0
1,0.8962264150943396,0.8878504672897196,0.892018779342723,107.0
accuracy,0.875,0.875,0.875,0.875
macro avg,0.8711901306240929,0.8724966622162884,0.8718158412842647,184.0
weighted avg,0.8752721335268505,0.875,0.8751097985764046,184.0
